id,name,country,show link,people,Networks
S1,Short Cuts,UK,,"P1,P2,P7,P9",
S2,Radio Atlas,UK,,P1,
S3,Lights Out,UK,,"P1,P8,P10",
S4,Imaginary Advice,UK,,P2,
S5,The Hackney Podcast,UK,,P3,
S6,Between the Ears,UK,,,
S7,Re:sound,US,,"P13,P4,P7,P10,P14",
S8,Third Ear,DK,,"P5,P6,P7",
S9,Sound Matters,DK,,"P5,P15,P9",
S10,Here Be Monsters,US,,"P15,P16",
S11,In The Dark,UK,,,
S12,Soundproof,AU,,,
S13,Radiotonic,AU,,,
S14,Secret Soundscapes Club,IE,,,
S15,Constellations,CA,,,
S16,Broken Boxes,US,,,
S17,Two New Hours,CA,,,
S18,Outfront,CA,,,
S19,Ideas,CA,,,
S20,The Wire,CA,,,
S21,Serendipity,US,,,
S22,Subcultures,CA,,,
S23,Sleepover,CA,,,
S24,WireTap,CA,,,
S25,The Imposter,CA,,,
S26,The Heart,US,,,
S27,Radio Eye,AU,,,
S28,Long Story Short,AU,,,
S29,The Listening Room,AU,,,
S30,The Truth,US,,,
S31,Paper Radio,AU,,,
S32,Radiolab,US,,,
S33,Surface Tension,AU,,,
S34,The Doc Project,CA,,,